Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,82.835014,88.324677,82.442894,85.775902,63.051083,153618889
2015-05-01,85.775902,108.322716,84.501518,105.871971,77.823044,254718960
2015-06-01,105.381828,111.753746,99.990196,109.793159,80.705383,213425313
2015-07-01,110.283302,119.105972,89.501030,94.108421,69.176056,239535791
2015-08-01,92.736008,100.480347,81.070480,90.594063,66.592758,185696289
2015-09-01,90.792076,96.732674,88.118813,93.267326,70.470406,119939520
2015-10-01,94.059402,97.326729,83.366333,84.554459,63.887192,159564850
2015-11-01,85.049507,87.524750,71.287125,72.475250,54.760448,212404010
2015-12-01,72.574257,74.059402,65.643562,68.910889,52.067310,171874730
2016-01-01,68.910889,69.009903,56.633663,63.168316,47.728367,171651520
2016-02-01,63.960396,65.940598,61.881187,64.851486,49.000126,69500120
2016-03-01,65.445541,73.168320,65.049507,71.485146,54.012352,187280260
2016-04-01,71.683167,72.475250,65.841583,65.940598,49.823032,87168050
2016-05-01,65.940598,73.762375,61.980198,73.762375,55.732967,111234330
2016-06-01,73.762375,75.346535,71.386139,74.653465,56.406254,85422770
2016-07-01,74.752472,78.118813,72.277229,76.534653,57.827629,65792410
2016-08-01,77.029701,89.504951,75.742577,87.722771,66.281097,125811660
2016-09-01,88.019798,92.500000,79.800003,92.199997,69.663963,121217710
2016-10-01,92.900002,96.900002,89.800003,91.599998,71.645500,106224000
2016-11-01,91.000000,92.800003,80.699997,83.599998,65.388237,95678000
2016-12-01,83.400002,87.099998,81.800003,85.300003,66.717911,66801000
2017-01-01,85.300003,88.699997,83.800003,87.900002,68.751518,39798000
2017-02-01,87.900002,97.800003,87.300003,91.699997,71.723709,109588000
2017-03-01,91.699997,95.900002,90.699997,92.500000,72.349434,77271000
2017-04-01,92.500000,96.500000,87.000000,92.000000,71.958351,86276000
2017-05-01,92.000000,94.000000,85.199997,85.199997,66.639694,95382000
2017-06-01,85.500000,95.900002,83.000000,91.800003,71.801933,225977000
2017-07-01,92.000000,96.000000,90.300003,90.800003,71.019768,152829000
2017-08-01,91.000000,102.000000,90.900002,95.800003,78.035637,233138219
2017-09-01,96.800003,97.699997,85.900002,87.500000,71.274712,151601980
2017-10-01,88.599998,96.599998,87.699997,96.099998,78.280006,135674256
2017-11-01,95.500000,96.000000,83.400002,83.400002,67.934982,154928542
2017-12-01,83.800003,87.000000,81.099998,85.199997,69.401207,77651878
2018-01-01,85.199997,88.699997,82.699997,83.400002,67.934982,73760846
2018-02-01,84.000000,85.199997,76.000000,79.400002,64.676720,53831332
2018-03-01,80.800003,82.000000,77.699997,79.599998,64.839622,75236952
2018-04-01,79.800003,80.099998,71.599998,73.900002,60.196587,51054235
2018-05-01,73.900002,78.599998,73.199997,73.800003,60.115135,56585395
2018-06-01,73.800003,78.199997,72.000000,74.599998,60.766781,56248352
2018-07-01,74.599998,80.000000,72.000000,75.900002,61.825726,70594423
2018-08-01,76.500000,79.300003,73.300003,78.000000,66.530174,53106245
2018-09-01,78.099998,78.500000,72.599998,74.500000,63.544849,49872007
2018-10-01,74.900002,75.500000,63.500000,65.599998,55.953583,63378148
2018-11-01,65.900002,67.400002,60.500000,62.200001,53.053551,71998677
2018-12-01,62.599998,63.799999,59.200001,60.500000,51.603535,47447925
2019-01-01,60.500000,60.900002,57.500000,59.200001,50.494698,51125823
2019-02-01,59.200001,64.400002,59.200001,63.099998,53.821205,31398811
2019-03-01,63.099998,63.900002,60.500000,61.500000,52.456490,53883541
2019-04-01,62.299999,75.099998,62.299999,69.199997,59.024208,87800773
2019-05-01,69.199997,70.000000,59.900002,61.500000,52.456490,49761989
2019-06-01,61.500000,64.400002,60.799999,63.099998,53.821205,35584547
2019-07-01,64.099998,68.000000,63.400002,64.300003,54.844753,62525705
2019-08-01,63.400002,64.500000,59.299999,63.400002,56.802238,55658980
2019-09-01,63.400002,66.699997,62.500000,64.699997,57.966949,57043855
2019-10-01,64.699997,66.599998,63.000000,65.199997,58.414917,55330883
2019-11-01,65.099998,70.000000,64.599998,66.599998,59.669228,90206081
2019-12-01,66.599998,70.599998,65.900002,66.199997,59.310852,70632072
2020-01-01,66.199997,67.000000,59.799999,60.500000,54.204025,41295257
2020-02-01,59.599998,69.000000,58.000000,59.500000,53.308094,45229120
2020-03-01,58.299999,59.900002,45.849998,49.500000,44.348751,94009829
2020-04-01,49.599998,58.500000,49.000000,57.599998,51.605816,81282722
2020-05-01,57.599998,57.900002,52.400002,53.900002,48.290863,60960974
2020-06-01,54.500000,56.500000,52.799999,56.500000,50.620293,65414263
2020-07-01,57.099998,59.200001,53.400002,54.200001,48.559643,105355916
2020-08-01,54.299999,55.200001,50.500000,52.200001,48.874432,51974311
2020-09-01,52.400002,54.200001,50.000000,51.500000,48.219025,47541881
2020-10-01,51.500000,52.500000,50.000000,50.099998,46.908218,28493116
2020-11-01,50.299999,52.700001,50.200001,52.599998,49.248943,54816284
2020-12-01,52.700001,56.599998,51.400002,53.400002,49.997982,152453917
2021-01-01,53.400002,79.400002,53.400002,74.800003,70.034622,744020273
2021-02-01,74.500000,76.900002,68.500000,70.000000,65.540421,298944556
2021-03-01,70.000000,79.599998,67.300003,72.599998,67.974777,395338720
2021-04-01,73.000000,73.400002,68.599998,69.000000,64.604134,162380856
2021-05-01,68.900002,69.000000,55.799999,65.300003,61.139854,164266309
2021-06-01,65.800003,68.599998,62.599998,65.699997,61.514366,91755265
2021-07-01,65.900002,67.400002,61.299999,61.599998,57.675571,101596508
2021-08-01,62.000000,67.599998,61.500000,66.300003,63.901917,126203230
2021-09-01,66.000000,71.800003,62.700001,70.300003,67.757233,184282364
2021-10-01,70.000000,71.800003,66.500000,68.800003,66.311493,255698910
2021-11-01,69.199997,71.199997,63.500000,65.199997,62.841698,140663908
2021-12-01,65.000000,65.800003,63.599998,64.900002,62.552551,60852791
2022-01-01,65.000000,66.900002,60.000000,60.000000,57.829784,68880937
2022-02-01,60.099998,64.800003,59.700001,63.799999,61.492336,76001913
2022-03-01,64.199997,65.599998,60.799999,62.799999,60.528507,69354185
2022-04-01,62.599998,62.700001,57.599998,59.000000,56.865955,53663350
2022-05-01,58.799999,61.799999,53.099998,54.599998,52.625103,212740778
2022-06-01,54.799999,57.400002,49.250000,49.299999,47.516808,158843947
2022-07-01,49.500000,49.950001,45.099998,49.250000,47.468616,66470312
2022-08-01,49.299999,51.799999,47.500000,50.599998,50.599998,54771914
2022-09-01,50.500000,50.700001,45.150002,45.849998,45.849998,46218709
2022-10-01,45.349998,47.549999,45.200001,45.200001,45.200001,40141881
2022-11-01,45.450001,52.200001,44.799999,52.099998,52.099998,62683338
2022-12-01,52.799999,54.900002,50.599998,51.900002,51.900002,75243267
2023-01-01,52.200001,56.000000,50.299999,54.200001,54.200001,52030461
2023-02-01,54.700001,57.000000,54.200001,56.000000,56.000000,68938617
